"req_id","customerid","businessid"
"12020082715340533660","3001085108",TCL20200800001684
"12020081417180481568","3001055197",TCL20200800000821
"12020081416310481533","3000665955",TCL20200800000810
"12020090319300535082","3001107032",TCL20200900000259
"12020083118110534362","3001091692",TCL20200800001815
"12020082615210533427","3001082777",_作废TCL20200800001597
"12020082015150510292","3001067192",TCL20200800001219
"12020082012060510261","3001063955",TCL20200800001183
"12020082410450510782","3001076153",_作废TCL20200800001400
"12020082611140533357","3000921104",TCL20200800001571
"12020082312330510729","3000575379",_作废TCL20200800001386
"12020082114590510540","3001052166",TCL20200800001327
"12020090916480557134","3000655502",TCL20200900000579
"12020082809330533772","3001086301",TCL20200800001736
"12020090918100557164","3000623078",TCL20200900000587
"12020090218540534837","3001105009",TCL20200900000160
"12020082912450534012","3001091397",_作废TCL20200800001807
"12020090412190553979","3001054823",TCL20200900000292
"12020090410460550193","3001110596",TCL20200900000267
"12020082912570534015","3001040500",TCL20200800001808
"12020092811510560397","3001180699",TCL20200900001931
"12020091015270557298","3001133720",TCL20200900000647
"12020091611390558103","3001153734",TCL20200900000981
"12020091015360557304","3001133663",TCL20200900000648
"12020082716410533698","3000117200",TCL20200800001706
"12020090118030534593","3001088638",TCL20200900000076
"12020092511420559826","3001174595",TCL20200900001698
"12020101210510561613","4003946962",TCL20201000000242
"12020091416300557822","3001149835",TCL20200900000853
"12020091113180557445","3001135911",TCL20200900000718
"12020092311360559382","3001170180",TCL20200900001500
"12020092413510559630","3001172059",TCL20200900001624
"12020092115380558952","3001166896",TCL20200900001341
"12020101918190563461","3001195336",TCL20201000001112
"12020101517210562663","3001201068",TCL20201000000735
"12020101616320562923","3001203501",TCL20201000000847
"12020100218000561006","3000738510",TCL20200900002111
"12020101211330561640","3001192256",TCL20201000000255
"12020102611110566139","3000608163",_作废TCL20201000002391
"12020102612260566296","3001229679",TCL20201000002446
"12020102401060565769","3001221940",TCL20201000001900
"12020102311150565197","3001222144",TCL20201000001940
"12020102400450565760","3001222041",TCL20201000001929
"12020102309330565103","3001221854",TCL20201000001889
"12020102316310565508","3001223982",TCL20201000002126
"12020102318000565606","3001222985",TCL20201000002033
"12020102417290565928","3001227078",TCL20201000002294
"12020102021270564003","3001210054",TCL20201000001287
"12020102017200563896","3001210327",TCL20201000001330
"12020110215170569266","4004769181",TCL20201100000115
"12020110416420610309","3001253753",TCL20201100000593
"12020102812230567558","3001234908",TCL20201000003022
"12020103017010568712","3001241791",TCL20201000003535
"12020110318060609927","4005193222",TCL20201100000397
"12020110318060609927","4005193222",TCL20201100000397
"12020110610220610995","3001257505",TCL20201100000893
"12020110515160610716","3000599305",TCL20201100000772
"12020102812010567524","3001234672",TCL20201000002997
"12020110417130610340","3001254008",_作废TCL20201100000610
"12020110312340592546","3001249745",TCL20201100000270
"12020110316300608935","3001251008",TCL20201100000367
"12020110412420610133","3001252635",TCL20201100000505
"12020111214090613202","3001288829",TCL20201100001960
"12020111217300613419","3001290003",_作废TCL20201100002067
"12020110617270611344","3001259671",TCL20201100001067
"12020111015590612290","3001281660",TCL20201100001503
"12020111310450613504","3000618409",TCL20201100002129
"12020112716350680475","3001340589",TCL20201100004574
"12020111717450653182","3001310789",TCL20201100002849
"12020111615540652619","3001305685",TCL20201100002591
"12020111318150652089","3001296241",TCL20201100002357
"12020111912000653657","3001314619",TCL20201100003032
"12020111911430653649","3001317037",TCL20201100003207
"12020120811190707945","3001369249",TCL20201200000840
"12020112617040680248","3001337396",TCL20201100004422
"12020111920540653854","3001309671",TCL20201100003398
"12020111920540653854","3001309671",TCL20201100003398
"12020113015490680702","3001346224",TCL20201100004758
"12020120512000707488","4006452289",TCL20201200000604
"12020122414310710284","3000638671",TCL20201200002227
"12020121710210709464","3000636343",TCL20201200001665
"12020121816080709715","3000610736",TCL20201200001839
"12020121117370708924","3001379965",TCL20201200001276
"12020121518000709274","3000632231",TCL20201200001493
"12020120813130707996","3001369755",TCL20201200000887
"12020122309370710061","3000902011",TCL20201200002056
"12020121710460709483","3001392356",TCL20201200001669
"12020122414260710270","3001408817",TCL20201200002226
"12020122911440710951","3000187812",TCL20201200002506
"12020123019510711224","3001422749",TCL20201200002693
"12020123012190711122","3001420988",TCL20201200002614
"12020122216020710005","3001032188",TCL20201200002058
"12020121710310709481","3000912336",TCL20201200001666
